ID;TIME;SATISFACAO;ATIVIDADE;COMUNICACAO
Dev_354;maintenance-packages;0.1826713269759172;0.040549326600528;0.1654310818231741
Dev_356;orleans;0.137977960701009;0.0405082036726761;0.1869851729818781
Dev_363;maintenance-packages;0.1182620817843864;0.0400077602711665;0.1562328390993959
Dev_366;fsharp;0.1502091078066914;0.0392767542810267;0.0877265238879736
Dev_368;dotnet-api-docs;0.1431033147459726;0.0391737752625745;0.0992586490939044
Dev_369;maintenance-packages;0.1548172242874845;0.039170113135318;0.0475013728720483
Dev_379;sdk;0.1680849210037174;0.0389650340089551;0.0425590334980779
Dev_381;aspnetcore;0.2204577137546468;0.0388445235944944;0.1658429434376716
Dev_384;runtime;0.1412971322357937;0.0385239204164009;0.0752333882482152
Dev_386;maui;0.1567243649318462;0.038371281109771;0.0818231740801757
Dev_387;runtime;0.1542750929368029;0.0383562053525652;0.0617792421746293
Dev_388;aspnetcore;0.1478973048327136;0.0382278576898667;0.1066721581548599
Dev_400;aspire;0.1050495662949193;0.0364954191774016;0.0760571114772103
Dev_401;maintenance-packages;0.2824385187303401;0.0363996342543282;0.1132619439868204
Dev_406;runtime;0.1959306956983536;0.0360148242911342;0.2107358594179022
Dev_408;efcore;0.2872908921933084;0.0358045368060065;0.2611202635914332
Dev_410;docs;0.1157527881040891;0.0357481532942623;0.1272652388797364
Dev_413;maui;0.1991171003717471;0.0354001479187741;0.0669961559582646
Dev_424;runtime;0.1919144981412639;0.0350685306080596;0.0669961559582646
Dev_425;sdk;0.1140799256505576;0.0349572019394625;0.0466776496430532
Dev_426;maintenance-packages;0.1895475139405203;0.0349157265531225;0.1264415156507413
Dev_427;installer;0.1665720088117857;0.0346948932956449;0.1091433278418451
Dev_430;INDEFINIDO;0.1355358164140691;0.0341367580556715;0.1397583745194948
Dev_434;dotnet-api-docs;0.1469853624535315;0.0337890817301536;0.1066721581548599
Dev_452;eShop;0.1174383237580262;0.0324289637880981;0.0494233937397034
Dev_453;runtime;0.1125509653435663;0.0324143906103481;0.1213618890719385
Dev_456;AspNetCore.Docs;0.2285780669144979;0.0321606922491823;0.079763866007688
Dev_459;INDEFINIDO;0.1489535673434372;0.0319274717440724;0.1448380010982976
Dev_461;roslyn;0.3154429987608426;0.0317189048774652;0.0741350906095551
Dev_464;runtime;0.2707946096654273;0.0312919196194993;0.051208127402526
Dev_486;winforms;0.1689900867410159;0.0308818620602888;0.1249313563975837
Dev_487;core;0.195399628252788;0.0308603069350924;0.0825096101043382
Dev_488;INDEFINIDO;0.1358998706966219;0.030726712532776;0.0930807248764415
Dev_496;winforms;0.1168680297397767;0.0300315871873897;0.0481878088962108
Dev_499;runtime;0.1715845724907061;0.0298569573093618;0.0811367380560131
